date,id,content,username,like_count,retweet_count
2023-03-22 04:07:35+00:00,1638391949022441476,"@RayRayCrypto @MarkNaughton9 He is a communist, so he lets criminals stay out to keep unrest of the people that’s how communism starts. Then they have to try to make a mockery of anyone against them like Donald Trump.",Iam_PhilW,1,0
2023-03-22 04:07:32+00:00,1638391935831527424,"Those around Donald Trump say he's become disconnected from reality and reduced to ""magical thinking"" about his indictment - Palmer Report https://t.co/IjejCwZs3m",itsgoingtohapp1,0,0
2023-03-22 04:07:23+00:00,1638391898862931968,"@JackPosobiec Starting new wars has nothing to do with any kind of criminality. Are you paying attention yet? Good grief, it's Donald Trump. He doesn't care about you.",RyanPayne32,0,0
2023-03-22 04:07:21+00:00,1638391892638302211,@cybunnyplushie 6ix9ine and hasbulla anime teamed up and beat the everloving fuck out of donald trump while he was cleaning himself in a public bathroom,Karitorikii,0,0
2023-03-22 04:07:16+00:00,1638391869338951680,@ImSpeaking14 @RNCResearch You ever wonder why y’all have to photoshop him doing weird shit? It’s the same reason y’all have to photoshop Donald Trump looking strong and masculine in pics.,QueenAnnLo42,0,0
2023-03-22 04:07:15+00:00,1638391868626173953,Fact Check: Viral image – Former President Donald Trump’s Truth Social posts about his possible arrest don’t include this one https://t.co/3k7HFliOG5,TheParadiseNg,0,0
2023-03-22 04:07:11+00:00,1638391850339008513,Special Counsel Drops Evidence Donald Trump Has Committed ‘Criminal Violations’ in Classified Documents Case https://t.co/dFsrT8835R,TheParadiseNg,0,0
2023-03-22 04:07:11+00:00,1638391848212520960,"Donald Trump's Lawyer: It Will Be 'An All-Out War' If He's Indicted.

This is NOT a president, this is a crook &amp; a conman. https://t.co/Eg5bKCECEE",ValerieHogan,0,0
2023-03-22 04:07:03+00:00,1638391816838955009,"@joncoopertweets Yes

What have left before the ultimatum I stop dating people just because they like Donald Trump",Solomonscafe13,0,0
2023-03-22 04:06:59+00:00,1638391800023986176,The Republican Congress likes to create chaos they’ve learned from Donald Trump… they should all be held accountable,onenew20171,0,0
2023-03-22 04:06:48+00:00,1638391753702268928,"@Jim_Jordan personally,
I'd love to be eating a delicious
meal I prepared
while watching ""a Donald Trump prosecution""

we can have both.

#LockHimUp
#LockHimUpAlready https://t.co/fzrM6PAEFq",WILLDYE4U,1,0
2023-03-22 04:06:45+00:00,1638391742251814912,@Bh0045 Yes I support Elon Musk supporting Donald Trump,JonDwyerCatman,0,0
2023-03-22 04:06:42+00:00,1638391729760944133,son reales las fotos de Donald Trump huyendo de los oficiales??????,jonathanotapia,0,0
2023-03-22 04:06:36+00:00,1638391704549031939,"It’s March 22/2023 at 12:06 am

Today is going to be the worst day of Donald Trump’s life.",CoffeyTimeNews,38,4
2023-03-22 04:06:27+00:00,1638391663809769474,@simonateba Donald Trump is the greatest president ever,SandykSanders,0,0
2023-03-22 04:06:25+00:00,1638391657216327687,Donald Trump is now a saint.Real violence could break out anywhere and at any time.Weaponized government is a target when the justice system is weaponized against the people.,CraigFM1789,1,1
2023-03-22 04:06:23+00:00,1638391647921643520,Donald Trump's lawyer says their legal fight in Manhattan has become an 'all-out war' https://t.co/MSQm6NDtEO WAR. PROTEST. BETTER WATCH OUT. WITCH HUNT. Sounds like a Trump thing. Start handing out MAGA hats and flags. Sell the rest of the NFT's . Donations gratefully accepted.,Zoinko7,1,0
